000001.SS,^GSPC,^N225,^STOXX,Index
2780.898926,2896.73999,22799.64063,385.5700073,7230.929383
2777.980957,2897.52002,22813.4707,385.4599915,7456.24445
2769.294922,2914.040039,22848.2207,386.5799866,7398.653547
2737.737061,2901.129883,22869.5,385.3599854,7323.056142
2725.25,2901.52002,22865.15039,382.2600098,7382.93987
2720.733887,2901.52002,22707.38086,382.5100098,7615.099808
2750.580078,2896.719971,22696.90039,379.8299866,7715.498033
2704.336914,2888.600098,22580.83008,375.6799927,7083.955038
2691.593018,2878.050049,22487.93945,373.4700012,6817.232173
2702.301025,2871.679932,22307.06055,373.769989,6740.815272
2669.485107,2877.129883,22373.08984,375.5100098,6581.696304
2664.800049,2887.889893,22664.68945,375.3099976,6558.96443
2656.110107,2888.919922,22604.60938,377.0799866,6587.107639
2686.577881,2904.179932,22821.32031,376.519989,6783.542067
2681.643066,2904.97998,23094.66992,377.8500061,6781.3726
2651.789063,2888.800049,23094.66992,378.3099976,6531.948316
2699.949951,2904.310059,23420.53906,378.730011,6635.732651
2730.850098,2907.949951,23672.51953,379.980011,6663.245056
2729.243896,2930.75,23674.92969,382.6300049,6801.335221
2797.485107,2929.669922,23869.92969,384.2900085,7042.697905
2797.485107,2919.370117,23869.92969,382.1400146,6882.526664
2781.138916,2915.560059,23940.25977,383.8900146,6722.920342
2806.812988,2905.969971,24033.78906,385.0400085,6768.6709
2791.774902,2914,23796.74023,386.3800049,6968.654995
2821.350098,2913.97998,24120.03906,383.1799927,6928.84599
2821.350098,2924.590088,24245.75977,383.9400024,6881.005923
2821.350098,2923.429932,24270.61914,381.9400024,6843.390126
2821.350098,2925.51001,24110.96094,383.8399963,6780.94747
2821.350098,2901.610107,23975.61914,379.6799927,6857.589687
2821.350098,2885.570068,23783.7207,376.4100037,6909.286674
2716.51001,2884.429932,23783.7207,372.2099915,6941.327779
2721.012939,2880.340088,23469.39063,372.9299927,6929.761499
2725.836914,2785.679932,23506.03906,366.9299927,6869.713122
2583.458008,2728.370117,22590.85938,359.6499939,6497.346369
2606.913086,2767.129883,22694.66016,358.9500122,6525.243276
2568.0979,2750.790039,22271.30078,359.3099976,6861.538061
2546.330078,2809.919922,22549.24023,364.9899902,6860.732717
2561.614014,2809.209961,22841.11914,363.5400085,6805.639644
